result,table,_start,_stop,_time,_value,Date,Hour,_field,_measurement
_result,0,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.091168+00:00,30.16,2002-05-01,10,HOEP,_measurement
_result,1,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:11.202673+00:00,30.65,2002-05-01,17,HOEP,_measurement
_result,2,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.006868+00:00,24.22,2002-05-01,24,HOEP,_measurement
_result,3,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.299569+00:00,23.59,2002-05-01,5,HOEP,_measurement
_result,4,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.466580+00:00,29.51,2002-05-01,13,HOEP,_measurement
_result,5,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:11.499707+00:00,33.81,2002-05-01,20,HOEP,_measurement
_result,6,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.170549+00:00,18.75,2002-05-02,1,HOEP,_measurement
_result,7,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.340384+00:00,29.76,2002-05-01,12,HOEP,_measurement
_result,8,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:08.775577+00:00,22.97,2002-05-01,1,HOEP,_measurement
_result,9,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.140574+00:00,24.54,2002-05-01,3,HOEP,_measurement
_result,10,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.904186+00:00,30.97,2002-05-02,7,HOEP,_measurement
_result,11,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.575178+00:00,26.35,2002-05-02,5,HOEP,_measurement
_result,12,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.718066+00:00,30.37,2002-05-01,15,HOEP,_measurement
_result,13,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.587710+00:00,29.63,2002-05-01,14,HOEP,_measurement
_result,14,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.568087+00:00,28.84,2002-05-01,6,HOEP,_measurement
_result,15,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:11.766187+00:00,28.93,2002-05-01,22,HOEP,_measurement
_result,16,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.253659+00:00,18.89,2002-05-02,2,HOEP,_measurement
_result,17,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.322800+00:00,23.3,2002-05-02,3,HOEP,_measurement
_result,18,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.839932+00:00,32.23,2002-05-01,8,HOEP,_measurement
_result,19,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.966093+00:00,30.0,2002-05-01,9,HOEP,_measurement
_result,20,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.223697+00:00,30.25,2002-05-01,11,HOEP,_measurement
_result,21,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.711735+00:00,30.63,2002-05-01,7,HOEP,_measurement
_result,22,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:13.272682+00:00,36.7,2002-05-02,10,HOEP,_measurement
_result,23,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:10.933595+00:00,31.11,2002-05-01,16,HOEP,_measurement
_result,24,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:13.029763+00:00,32.82,2002-05-02,8,HOEP,_measurement
_result,25,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.010821+00:00,23.27,2002-05-01,2,HOEP,_measurement
_result,26,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:11.880451+00:00,27.55,2002-05-01,23,HOEP,_measurement
_result,27,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:13.521801+00:00,33.56,2002-05-02,12,HOEP,_measurement
_result,28,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:13.154477+00:00,34.6,2002-05-02,9,HOEP,_measurement
_result,29,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.771494+00:00,30.1,2002-05-02,6,HOEP,_measurement
_result,30,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:11.640844+00:00,34.56,2002-05-01,21,HOEP,_measurement
_result,31,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:12.448078+00:00,20.56,2002-05-02,4,HOEP,_measurement
_result,32,1962-11-03T04:06:13.630841+00:00,2022-10-19T04:06:13.630841+00:00,2022-10-19 04:06:09.263437+00:00,15.17,2002-05-01,4,HOEP,_measurement
